@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Remove-R1-2,11-18-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,16-weka.filters.unsupervised.attribute.Remove-R13'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,1,0,0,True,True,True,True,8,4,8,16,1,13,2,-6,4,0,8,0,12,-4,West
1,1,0,1,True,True,True,True,6,3,9,11,1,10,0,-6,2,-1,7,2,10,-2,West
1,1,0,1,True,True,True,True,6,3,10,13,1,11,0,-6,3,0,8,2,11,-1,West
1,1,1,0,True,True,True,True,5,7,12,12,1,9,-1,-4,3,4,8,4,11,2,West
1,1,1,0,True,True,True,True,4,6,12,13,1,9,2,-2,3,3,10,2,10,2,West
1,1,1,0,True,True,True,True,4,9,15,14,1,11,2,2,4,5,11,4,8,6,West
1,1,1,1,True,True,True,True,3,7,15,12,1,9,2,1,4,3,11,4,6,5,West
1,1,0,1,False,True,True,True,0,7,13,12,1,8,-2,-4,5,2,10,3,8,5,West
1,1,0,1,False,True,True,True,0,8,13,14,1,9,-1,-4,6,2,11,2,9,4,West
1,1,1,1,False,True,True,True,0,2,10,12,0,6,-5,-3,-1,-1,8,2,4,7,West
1,1,1,1,False,True,True,True,0,2,10,12,0,7,-4,-3,-1,-1,9,1,6,7,West
1,1,1,0,False,False,True,True,0,0,8,12,1,7,-5,-2,-3,-2,8,0,5,8,West
1,1,1,0,False,False,True,True,0,0,10,14,1,8,-4,-2,-2,-2,9,1,6,7,West
1,1,1,0,False,False,True,True,0,0,10,13,1,9,-3,-2,-1,-2,10,0,7,7,West
1,1,1,0,False,False,True,True,0,0,12,13,1,10,-2,-2,0,-2,11,1,8,6,West
1,1,1,1,False,False,True,True,0,0,14,14,1,9,-2,-3,0,-3,14,0,9,4,West
1,1,0,1,False,False,True,True,0,0,16,15,1,9,-1,-4,1,-4,15,-1,11,4,West
1,1,0,1,False,False,True,True,0,0,15,14,1,9,-1,-4,1,-4,15,0,10,3,West
1,1,0,1,False,False,True,True,0,0,17,14,1,9,-1,-4,1,-4,16,-1,10,3,West
1,0,1,1,False,False,True,True,0,0,6,9,1,3,-10,-3,-8,-3,5,1,4,4,West
1,1,0,1,False,False,True,True,0,0,5,7,1,8,-10,-4,-8,-4,4,-1,3,3,West
1,1,1,1,False,False,True,True,0,0,5,7,1,9,-9,-4,-7,-4,4,-1,4,4,West
1,0,1,0,False,False,True,True,0,0,4,7,1,10,-10,-2,-8,-2,3,1,3,5,West
1,1,1,1,False,False,True,True,0,0,5,7,1,10,-9,-3,-7,-3,4,-1,3,3,West
1,1,1,1,False,False,True,True,0,0,5,8,1,11,-8,-3,-6,-3,4,-1,5,3,West
1,1,1,0,False,False,True,True,0,0,7,9,1,13,-7,-2,-5,-2,6,1,6,4,West
1,1,0,1,False,False,True,True,0,0,9,11,1,12,-6,-4,-4,-4,7,-2,7,3,West
1,1,1,0,False,False,True,True,0,0,7,10,1,13,-7,-2,-5,-2,5,2,6,5,West
1,1,1,0,False,False,True,True,0,0,9,10,0,14,-6,-2,-4,-2,7,2,6,5,West
1,1,1,0,False,False,True,True,0,0,10,11,1,15,-5,-2,-3,-2,8,2,6,5,West
1,1,0,1,False,False,True,True,0,0,10,11,1,13,-5,-4,-3,-4,8,2,7,3,West
1,1,0,1,False,False,True,True,0,0,10,11,1,13,-5,-4,-3,-4,8,2,7,3,West
1,1,0,1,False,False,True,True,0,0,10,13,0,14,-4,-4,-2,-4,8,2,9,3,West
1,1,1,1,False,False,True,True,0,0,10,13,1,13,-6,-3,-4,-3,6,4,8,4,West
1,1,1,0,False,False,True,True,0,0,10,16,1,14,-6,-2,-4,-2,5,5,11,6,West
1,1,1,0,False,False,True,True,0,0,10,16,1,15,-5,-2,-3,-2,6,4,11,6,West
1,1,1,0,False,False,True,True,0,0,11,16,1,15,-5,-2,-3,-2,6,5,10,5,West
1,1,1,0,False,False,True,True,0,0,12,13,0,14,-6,-2,-4,-2,6,6,8,4,West
1,1,1,0,False,False,True,True,0,0,13,16,1,15,-5,-2,-3,-2,7,6,10,5,West
1,1,0,1,False,False,True,True,0,0,9,13,1,13,-5,-4,-3,-4,6,3,10,4,West
1,0,1,0,False,False,True,True,0,0,7,11,1,10,-10,-2,-8,-2,2,5,3,8,West
1,0,1,0,False,False,True,True,0,0,7,13,1,10,-10,-2,-8,-2,1,6,5,8,West
