@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L1'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute class {West,East,South,North,Stop}

@data
1,11,0,1,0,1,True,True,True,True,6,5,6,9,8,11,14,6,11,7,7,18,0,1,14,East
2,11,1,1,0,0,True,True,True,True,4,5,6,11,10,11,14,7,8,4,8,16,0,1,13,West
1,11,0,1,0,1,True,True,True,True,5,5,6,10,10,11,14,7,10,6,9,16,0,1,14,South
1,10,0,0,1,1,True,True,True,True,5,5,6,9,8,11,13,7,9,6,8,16,0,1,13,South
1,9,0,1,1,1,True,True,True,True,5,4,7,9,7,11,14,7,9,6,8,14,0,1,12,North
1,10,0,0,1,1,True,True,True,True,6,3,8,8,7,11,14,7,12,9,7,15,0,1,13,South
1,9,0,1,1,1,True,True,True,True,5,3,8,7,8,11,14,8,10,9,9,13,0,1,12,South
1,8,0,1,1,1,True,True,True,True,4,4,7,9,8,11,12,7,7,7,10,11,0,1,11,North
1,9,0,1,1,1,True,True,True,True,3,4,7,9,8,11,12,8,7,6,9,13,0,1,12,East
2,9,1,1,0,1,True,True,True,True,3,3,6,9,9,11,12,7,7,4,9,13,0,1,11,East
3,9,1,1,0,1,True,True,True,True,3,3,5,8,10,11,13,7,6,3,9,11,0,1,10,West
2,9,1,1,0,1,True,True,True,True,2,3,5,9,10,11,13,8,6,3,10,13,0,1,11,West
1,9,0,1,1,1,True,True,True,True,2,3,6,9,10,10,14,8,7,5,10,14,0,1,12,East
2,9,1,1,0,1,True,True,True,True,1,3,6,10,10,11,14,8,7,5,10,12,0,1,11,South
2,8,1,1,1,1,True,True,True,True,2,3,6,11,10,10,13,8,5,7,10,12,0,1,10,South
2,7,1,1,1,0,True,True,True,True,1,3,5,11,10,11,13,9,5,7,12,12,0,1,9,West
1,8,0,1,1,1,True,True,True,True,3,5,5,11,11,9,12,9,5,7,11,12,0,1,11,South
1,7,0,1,1,1,True,True,True,True,3,5,5,11,12,9,12,9,4,8,13,13,0,1,10,East
2,7,1,1,1,0,True,True,True,True,4,5,5,10,12,9,12,9,4,6,12,13,0,1,9,West
1,7,0,1,1,1,True,True,True,True,4,5,5,10,12,9,13,9,5,7,13,13,0,1,10,South
1,7,0,1,1,1,True,True,True,True,5,4,6,11,14,8,11,9,7,9,14,13,0,1,10,South
1,6,0,0,1,1,True,True,True,True,4,4,6,11,14,8,11,10,5,10,15,14,0,1,9,South
1,5,0,1,1,1,True,True,True,True,3,5,6,9,13,8,11,9,2,9,15,15,0,1,10,South
1,4,0,1,1,1,True,True,True,True,5,5,6,10,14,8,11,9,5,11,17,14,0,1,11,South
2,3,1,1,1,0,True,True,True,True,4,5,6,8,13,7,10,9,4,9,15,14,0,1,11,West
1,3,0,1,1,0,True,True,True,True,4,4,6,7,13,8,10,9,4,9,17,14,0,1,12,East
2,3,1,1,1,0,True,True,True,True,4,5,6,7,13,7,10,8,4,8,15,12,0,1,11,East
3,3,1,1,1,0,True,True,True,True,4,5,7,7,13,8,9,8,3,8,15,12,0,1,10,North
3,4,1,1,1,1,True,True,True,True,5,5,7,7,14,8,9,9,3,7,15,12,0,1,9,West
2,4,1,1,1,1,True,True,True,True,4,5,8,7,15,8,10,9,3,9,17,13,0,1,10,South
2,3,1,1,1,0,True,True,True,True,5,5,9,8,14,8,11,9,5,12,17,14,0,1,11,East
3,3,1,1,1,0,True,True,True,True,5,5,8,8,13,8,10,9,4,10,15,14,0,1,10,North
3,4,1,1,1,1,True,True,True,True,4,5,8,7,12,8,11,9,2,8,13,14,0,1,9,North
3,5,1,1,0,1,False,True,True,True,1,1,8,7,13,8,11,10,0,7,13,12,0,1,8,West
2,5,1,1,0,1,False,True,True,True,1,1,8,7,13,7,11,9,0,8,13,14,0,1,9,West
1,5,0,1,1,1,False,True,True,True,1,1,8,6,12,7,11,10,0,8,13,15,0,1,10,South
4,3,1,1,1,0,False,False,True,True,1,1,3,1,13,4,11,9,0,0,10,12,0,1,9,East
5,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,10,9,0,0,10,12,0,1,8,North
5,4,1,1,1,1,False,False,True,True,1,1,3,1,14,3,10,10,0,0,10,10,0,1,7,South
5,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,10,10,0,0,10,11,0,1,8,East
6,3,1,1,1,0,False,False,True,True,1,1,3,1,15,4,10,9,0,0,10,11,0,1,7,North
6,4,1,1,1,1,False,False,True,True,1,1,3,1,15,3,10,10,0,0,10,10,0,1,6,South
6,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,11,11,0,0,8,12,0,1,7,West
5,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,11,10,0,0,10,14,0,1,8,West
4,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,11,10,0,0,10,13,0,1,9,West
3,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,11,9,0,0,12,13,0,1,10,West
2,3,1,1,1,0,False,False,True,True,1,1,3,1,15,4,13,9,0,0,14,16,0,1,11,North
2,4,1,1,1,1,False,False,True,True,1,1,3,1,16,4,12,9,0,0,14,14,0,1,10,East
3,4,1,1,1,1,False,False,True,True,1,1,3,1,17,4,12,8,0,0,14,14,0,1,9,West
2,4,1,1,1,1,False,False,True,True,1,1,3,1,16,4,12,9,0,0,14,16,0,1,10,North
2,5,1,1,0,1,False,False,True,True,1,1,3,1,17,4,13,9,0,0,16,15,0,1,9,West
2,5,1,1,0,1,False,False,True,True,1,1,3,1,17,5,12,8,0,0,15,14,0,1,9,West
1,5,0,1,1,1,False,False,True,True,1,1,3,1,18,5,13,8,0,0,17,14,0,1,10,East
2,5,1,1,0,1,False,False,True,True,1,1,3,1,18,4,12,8,0,0,17,14,0,1,9,West
1,5,0,1,1,1,False,False,True,True,1,1,3,1,18,5,12,9,0,0,17,15,0,1,10,South
11,4,1,0,1,1,False,False,True,True,1,1,3,1,16,5,15,8,0,0,6,9,0,1,3,West
10,4,1,1,1,1,False,False,True,True,1,1,3,1,15,5,16,8,0,0,6,9,0,1,2,North
10,5,1,1,1,1,False,False,True,True,1,1,3,1,14,5,15,8,0,0,4,9,0,1,1,North
10,6,1,0,1,1,False,False,True,True,1,1,3,1,14,4,16,8,0,0,6,7,0,1,8,South
10,5,1,1,1,1,False,False,True,True,1,1,3,1,15,4,15,8,0,0,6,7,0,1,9,East
11,5,1,1,0,1,False,False,True,True,1,1,3,1,15,4,14,8,0,0,5,7,0,1,8,West
10,5,1,1,1,1,False,False,True,True,1,1,3,1,14,4,14,9,0,0,5,7,0,1,9,West
11,4,1,0,1,1,False,False,True,True,1,1,3,1,16,5,14,9,0,0,6,7,0,1,9,North
11,5,1,1,0,1,False,False,True,True,1,1,3,1,15,5,14,8,0,0,4,7,0,1,8,South
11,4,1,0,1,1,False,False,True,True,1,1,3,1,15,4,15,8,0,0,4,7,0,1,9,South
11,3,1,0,1,0,False,False,True,True,1,1,3,1,14,4,14,8,0,0,4,7,0,1,10,West
10,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,13,8,0,0,4,7,0,1,11,North
10,4,1,1,1,1,False,False,True,True,1,1,3,1,14,3,13,7,0,0,5,7,0,1,10,West
9,4,1,1,1,1,False,False,True,True,1,1,3,1,13,3,14,7,0,0,5,8,0,1,11,West
