@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Remove-R1-2,11-18-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,16-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R5-8-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-L2-weka.filters.unsupervised.attribute.Remove-R9'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute distComida numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,1,1,1,0,2,10,12,6,-5,-3,-1,-1,8,2,4,7,West
1,1,1,1,0,2,10,12,7,-4,-3,-1,-1,9,1,6,7,West
1,1,1,0,0,0,9,10,14,-6,-2,-4,-2,7,2,6,5,West
1,1,0,1,0,0,10,13,14,-4,-4,-2,-4,8,2,9,3,West
1,1,1,0,0,0,12,13,14,-6,-2,-4,-2,6,6,8,4,West
1,1,0,1,0,0,11,0,-1,-9,-10,-7,-10,5,-6,-3,-10,West
1,1,0,0,0,0,13,0,-1,-7,-10,-5,-10,6,-7,-1,-10,West
1,0,1,1,0,0,10,0,-1,-9,-7,-7,-7,6,-4,-3,-7,West
1,1,0,1,0,0,16,0,-1,-9,-10,-7,-10,8,-8,-3,-10,West
1,1,0,0,0,0,14,0,-1,-8,-10,-6,-10,9,-5,-2,-10,West
1,1,0,0,0,0,17,0,-1,-6,-10,-4,-10,11,-6,0,-10,West
1,1,0,0,0,0,16,0,-1,-6,-10,-4,-10,11,-5,0,-10,West
1,1,0,1,0,0,19,0,-1,-5,-10,-3,-10,12,-7,1,-10,West
1,1,1,1,0,0,8,0,-1,-9,-4,-7,-4,6,-2,-3,-4,West
1,1,1,1,0,0,8,0,-1,-8,-7,-6,-7,5,-3,-2,-7,West
1,1,0,0,8,4,0,11,7,-2,-6,-2,-2,-3,-10,6,-5,West
1,1,0,0,7,3,0,12,8,-1,-6,-1,-2,-2,-10,7,-5,West
1,1,0,0,7,3,0,12,8,-1,-6,-1,-2,-2,-10,7,-5,West
1,1,1,1,7,0,0,14,10,4,-3,1,-7,3,-7,12,-2,West
1,1,0,1,8,0,0,15,11,4,-4,1,-8,3,-8,12,-3,West
1,1,1,0,5,0,0,12,8,3,-2,0,-6,2,-6,11,-1,West
1,1,1,1,6,0,0,13,9,3,-3,0,-7,2,-7,11,-2,West
1,1,1,0,3,0,0,8,4,-1,-2,-4,-6,-2,-6,7,-1,West
1,1,1,1,4,0,0,7,3,-2,-2,-5,-6,-3,-6,6,-1,West
1,1,1,1,5,0,0,8,4,-2,-3,-5,-7,-3,-7,6,-2,West
1,1,1,1,4,0,0,9,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,1,4,0,0,9,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,1,5,0,0,8,4,-2,-3,-5,-7,-3,-7,6,-2,West
1,1,1,1,4,0,0,9,5,-1,-3,-4,-7,-2,-7,7,-2,West
1,1,1,0,3,0,0,10,6,1,-2,-2,-6,0,-6,9,-1,West
1,1,1,0,2,0,0,9,5,0,-2,-3,-6,-1,-6,8,-1,West
