@relation 'pacman-data-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C27-L5-weka.filters.unsupervised.attribute.Remove-R1-2,7-18,23-24,26,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,10-weka.filters.unsupervised.attribute.Remove-R9'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,1,0,0,14,8,8,7,-13,1,-6,2,-4,4,4,4,West
1,0,0,0,13,5,7,2,-12,-1,-5,0,-6,1,2,1,West
1,0,0,0,17,4,9,3,-15,2,-3,-1,-9,0,1,2,West
1,1,1,0,18,0,11,5,-14,4,-12,0,-7,4,-4,2,West
1,1,0,1,14,0,3,3,-13,-1,-11,-4,-1,-2,-3,0,West
1,1,0,0,16,0,0,8,-12,4,-10,0,-1,0,-7,2,West
1,1,0,1,13,0,4,3,-11,-2,-10,-4,-1,-3,-1,-3,West
1,0,1,1,9,14,0,11,-8,1,-12,2,-9,-2,-8,2,West
1,0,1,1,7,13,13,9,-7,0,-12,1,-11,2,-7,2,West
1,0,1,1,10,13,13,7,-9,1,-11,2,-11,2,-7,-1,West
1,1,0,0,12,12,0,0,-10,-2,-10,-2,-10,-4,-15,-3,West
1,0,0,1,9,17,0,16,-9,0,-14,-3,-10,-4,-14,-3,West
1,1,0,0,9,17,0,0,-7,-2,-16,-1,-10,-4,-12,-4,West
1,1,0,1,5,0,0,14,-5,0,-11,-4,-4,-4,-11,-2,West
1,0,0,0,7,17,0,0,-5,2,-15,2,-3,-2,-13,-2,West
1,0,1,0,21,6,14,8,-17,4,-2,4,-12,2,-7,2,West
1,1,0,1,13,3,13,3,-13,0,0,-3,-11,-2,0,-3,West
1,1,0,0,15,8,5,10,-11,4,-4,4,-1,4,6,4,West
1,1,1,0,9,6,9,16,-5,4,2,4,5,4,12,4,West
