@relation 'pacman-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C27-L5-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Remove-R1-2,7-18,23-24,26,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,10'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute distComida numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,1,1,0,7,5,6,7,6,3,-4,-3,2,2,4,5,3,West
1,1,1,1,7,0,0,0,4,-2,-5,-5,-7,-3,-7,-1,-7,West
1,1,1,1,6,0,0,0,5,-1,-5,-4,-7,-2,-7,0,-7,West
1,1,0,0,18,0,0,0,11,10,-8,-1,-10,1,-10,3,-10,West
1,1,0,1,16,0,0,0,10,9,-7,-2,-10,0,-10,2,-10,West
1,1,1,1,10,0,0,0,7,9,-1,-2,-7,0,-7,2,-7,West
1,1,1,1,4,0,4,9,5,-1,-3,-4,-7,1,3,7,-2,West
1,1,1,1,4,0,4,9,5,-1,-3,-4,-7,1,3,7,-2,West
1,1,1,0,3,0,5,8,4,-1,-2,-4,-6,1,4,7,-1,West
1,1,1,0,2,0,6,9,5,0,-2,-3,-6,2,4,8,-1,West
1,1,1,0,4,0,8,11,7,2,-2,-1,-6,4,4,10,-1,West
1,1,0,0,0,0,0,11,7,-7,-10,-5,-10,-3,-10,6,-5,West
1,1,0,1,0,0,0,8,-1,-10,-10,-8,-10,-6,-10,3,-5,West
1,0,1,1,0,0,0,6,-1,-9,-7,-7,-7,-5,-7,4,-2,West
1,1,0,0,0,0,0,7,-1,-11,-10,-9,-10,-7,-10,2,-5,West
1,1,1,0,0,0,0,10,-1,-6,-2,-4,-2,-2,-2,7,3,West
1,1,1,0,0,0,0,3,-1,-13,-2,-11,-2,-9,-2,0,3,West
1,1,1,0,0,0,0,5,-1,-15,-2,-13,-2,-11,-2,-2,3,West
1,0,1,1,0,0,0,7,-1,-17,-8,-15,-8,-13,-8,-4,-3,West
1,1,1,1,10,13,4,0,6,-8,-2,-10,3,-1,-3,-6,-7,West
1,1,1,1,8,14,3,0,9,-8,0,-8,6,-1,-2,-6,-4,West
1,1,1,1,8,14,3,0,10,-7,-1,-7,7,-1,-2,-5,-4,West
1,1,1,1,8,12,0,0,12,-7,1,-4,8,-6,-3,-4,-3,West
1,1,1,1,6,12,0,0,13,-6,0,-4,8,-5,-3,-3,-3,West
1,1,1,1,6,10,0,0,14,-6,0,-2,8,-4,-3,-2,-3,West
1,1,1,1,6,8,0,0,15,-5,-1,0,8,-3,-3,-1,-3,West
1,1,1,1,4,8,0,0,16,-4,0,1,7,-2,-3,0,-3,West
1,1,1,1,4,9,0,0,17,-3,1,2,7,-1,-3,1,-3,West
1,1,1,1,2,11,0,0,18,-1,1,3,8,0,-3,2,-3,West
1,1,1,1,2,10,0,0,18,-1,1,3,7,1,-4,3,-4,West
1,1,1,1,2,10,0,0,19,-1,1,4,6,2,-4,4,-4,West
1,1,1,1,8,14,0,0,8,-8,0,-8,6,-8,-5,-6,-5,West
1,1,1,1,7,13,0,0,9,-7,0,-7,6,-7,-5,-5,-5,West
1,1,1,1,6,12,0,0,10,-6,0,-6,6,-6,-5,-4,-5,West
1,1,1,1,5,11,0,0,11,-5,0,-5,6,-5,-5,-3,-5,West
1,1,1,1,4,10,0,0,12,-4,0,-4,6,-4,-5,-2,-5,West
1,1,1,1,3,9,0,0,13,-3,0,-3,6,-3,-5,-1,-5,West
