@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.attribute.Remove-R7-10,23-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C19-L2'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute class {West,East,South,North,Stop}

@data
1,7,0,1,1,1,2,4,4,11,11,10,12,8,4,7,13,13,0,10,North
1,6,0,0,1,1,5,4,7,11,12,8,13,9,6,11,13,14,0,9,North
1,3,0,1,1,0,5,4,6,10,14,8,10,9,5,12,18,14,0,12,East
1,4,0,1,1,1,1,1,8,5,12,7,11,11,0,8,14,16,0,11,East
2,4,1,1,1,1,1,1,7,5,13,7,11,10,0,6,14,16,0,10,East
3,4,1,1,1,1,1,1,6,5,13,8,11,11,0,4,14,14,0,9,East
4,4,1,1,1,1,1,1,6,4,13,7,10,11,0,2,12,12,0,8,East
5,4,1,1,1,1,1,1,6,3,14,7,9,11,0,2,12,12,0,7,East
6,4,1,1,1,1,1,1,5,3,14,6,10,11,0,2,10,12,0,6,West
5,4,1,1,1,1,1,1,4,3,14,5,11,11,0,2,10,12,0,7,West
4,4,1,1,1,1,1,1,4,3,14,4,11,10,0,1,10,12,0,8,South
1,5,0,1,1,1,1,1,3,1,16,4,13,8,0,0,16,14,0,10,East
1,4,0,1,1,1,1,1,3,1,17,3,12,9,0,0,17,15,0,11,East
2,4,1,1,1,1,1,1,3,1,18,3,11,9,0,0,17,15,0,10,East
3,4,1,1,1,1,1,1,3,1,17,3,12,9,0,0,15,14,0,9,East
4,4,1,1,1,1,1,1,3,1,17,4,12,9,0,0,13,12,0,8,East
