@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R7-18,23-25,27'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute score numeric
@attribute scoreNext numeric

@data
9,1,1,1,0,0,12,5,6,13,0,99
8,1,1,1,0,0,10,4,6,13,99,98
8,1,1,1,0,0,9,4,7,13,98,197
7,1,1,1,0,0,7,5,8,15,197,196
7,1,1,1,0,0,8,6,8,14,196,195
8,1,1,1,0,0,9,5,6,13,195,194
8,1,1,1,0,0,8,5,6,13,194,193
8,1,1,1,0,0,8,4,6,14,193,192
8,1,1,1,0,0,7,4,6,13,192,191
7,1,1,1,0,0,5,6,6,15,191,190
8,1,1,1,0,0,7,4,5,14,190,189
9,1,1,1,0,0,8,2,5,12,189,188
9,1,1,1,0,0,8,3,5,13,188,187
9,1,1,1,0,0,7,3,4,12,187,186
9,1,1,1,0,0,7,4,5,12,186,185
8,1,1,1,0,0,7,5,6,12,185,184
8,1,1,1,0,0,6,6,7,12,184,183
9,1,1,1,0,0,8,4,5,12,183,182
9,1,1,1,0,0,8,4,5,12,182,281
10,1,1,1,0,0,9,5,5,12,281,280
10,1,1,1,0,0,9,5,4,11,280,279
9,1,1,1,0,0,9,5,4,12,279,278
9,1,1,1,0,0,9,5,3,12,278,277
9,1,1,1,0,0,8,5,3,13,277,276
10,1,1,1,0,0,8,6,3,11,276,275
9,1,1,1,0,0,8,5,3,12,275,274
10,1,1,1,0,0,8,6,3,10,274,373
11,1,1,1,0,0,10,6,3,10,373,472
12,1,1,1,0,0,10,8,3,8,472,571
13,1,1,1,1,0,11,8,3,7,571,670
14,1,1,1,0,0,13,8,4,5,670,669
14,1,1,1,0,0,13,9,5,6,669,668
14,1,1,1,0,0,13,10,5,6,668,767
15,1,1,1,1,0,15,11,6,5,767,766
15,1,1,1,1,0,16,11,6,5,766,865
16,1,1,1,0,0,16,12,6,4,865,864
15,1,1,1,1,0,14,11,4,5,864,863
15,1,1,1,1,0,13,11,5,6,863,862
15,1,1,1,1,0,12,11,5,5,862,861
16,1,1,1,0,0,0,12,5,5,861,960
17,1,1,1,0,0,0,13,5,4,960,959
17,1,1,1,0,0,0,13,6,4,959,1058
18,1,1,0,1,0,0,14,7,3,1058,1057
18,1,1,0,1,0,0,14,8,3,1057,1156
18,2,0,0,1,1,17,12,7,3,1156,1155
18,1,1,0,1,0,19,12,7,3,1155,1154
17,1,1,1,0,0,18,12,7,3,1154,1153
16,1,1,1,0,0,17,11,7,5,1153,1152
16,1,1,1,0,0,17,10,8,6,1152,1151
17,1,1,1,0,0,19,12,10,4,1151,1150
16,1,1,1,0,0,18,10,10,6,1150,1149
16,1,1,1,0,0,18,9,9,6,1149,1148
15,1,1,1,1,0,18,9,9,7,1148,1247
15,2,0,0,1,1,16,9,8,6,1247,1246
15,1,1,1,1,0,16,10,9,7,1246,1245
14,1,1,1,0,0,14,8,8,7,1245,1244
13,1,1,1,1,0,0,6,6,9,1244,1243
14,1,1,1,0,0,0,7,8,7,1243,1242
15,1,1,1,1,0,0,9,8,5,1242,1241
15,2,0,0,1,1,0,8,8,5,1241,1240
15,2,0,0,1,1,11,7,8,6,1240,1239
15,2,0,0,1,1,11,6,8,5,1239,1338
15,3,0,1,1,1,0,4,7,4,1338,1337
16,3,1,0,0,0,13,5,7,2,1337,1336
15,3,0,1,1,1,12,3,6,4,1336,1335
15,3,0,1,1,1,12,4,6,3,1335,1334
15,3,0,1,1,1,0,3,6,3,1334,1333
15,2,0,0,1,1,0,4,8,5,1333,1332
15,2,0,0,1,1,0,5,7,6,1332,1331
15,2,0,0,1,1,0,4,8,5,1331,1330
15,3,0,1,1,1,0,3,6,5,1330,1329
15,2,0,0,1,1,14,3,8,6,1329,1328
15,2,0,0,1,1,14,3,8,5,1328,1327
15,3,0,1,1,1,14,2,8,4,1327,1326
15,3,0,1,1,1,15,3,8,3,1326,1325
16,3,1,0,0,0,15,4,8,2,1325,1324
16,3,1,0,0,0,16,5,9,2,1324,1323
16,3,1,0,0,0,17,4,9,3,1323,1322
15,3,0,1,1,1,15,2,8,4,1322,1321
16,3,1,0,0,0,17,4,9,3,1321,1320
15,3,0,1,1,1,15,2,9,5,1320,1319
16,3,1,0,0,0,15,4,11,3,1319,1318
16,3,1,0,0,0,14,0,10,4,1318,1317
15,3,0,1,1,1,12,3,9,4,1317,1416
15,4,1,0,1,1,12,0,10,3,1416,1515
14,4,1,1,1,0,10,0,8,4,1515,1614
14,5,1,1,0,1,11,0,8,4,1614,1713
15,5,1,1,0,1,11,0,10,2,1713,1712
15,4,1,0,1,1,11,0,10,2,1712,1711
15,3,0,1,1,1,12,0,10,3,1711,1710
16,3,1,0,0,0,13,0,10,3,1710,1709
16,3,1,0,0,0,12,0,11,2,1709,1708
16,3,1,0,0,0,13,0,11,3,1708,1707
16,3,1,0,0,0,12,0,10,3,1707,1706
16,3,1,0,0,0,12,0,11,2,1706,1705
16,3,1,0,0,0,11,0,0,3,1705,1704
16,3,1,0,0,0,10,0,11,4,1704,1703
16,3,1,0,0,0,11,0,11,3,1703,1702
16,3,1,0,0,0,10,0,0,4,1702,1701
16,3,1,0,0,0,9,0,11,5,1701,1700
16,3,1,0,0,0,9,0,11,4,1700,1699
16,3,1,0,0,0,9,0,0,5,1699,1698
16,3,1,0,0,0,9,0,0,4,1698,1697
16,3,1,0,0,0,9,0,0,3,1697,1696
16,3,1,0,0,0,9,0,0,4,1696,1695
16,3,1,0,0,0,8,0,0,5,1695,1694
15,3,0,1,1,1,6,0,0,3,1694,1693
15,3,0,1,1,1,6,0,0,3,1693,1692
15,2,0,0,1,1,8,0,0,4,1692,1691
15,3,0,1,1,1,8,0,0,4,1691,1690
15,2,0,0,1,1,9,0,0,4,1690,1689
15,3,0,1,1,1,8,0,0,3,1689,1688
15,3,0,1,1,1,7,0,0,2,1688,1687
15,2,0,0,1,1,7,0,0,3,1687,1686
15,1,1,1,1,0,9,0,0,3,1686,1685
15,2,0,0,1,1,7,0,0,2,1685,1684
15,1,1,1,1,0,7,0,0,4,1684,1683
16,1,1,1,0,0,9,0,0,4,1683,1682
16,1,1,1,0,0,10,0,0,4,1682,1681
17,1,1,1,0,0,12,0,12,4,1681,1680
17,1,1,1,0,0,13,0,13,4,1680,1679
18,1,1,0,1,0,13,0,13,5,1679,1678
18,1,1,0,1,0,0,0,0,4,1678,1677
18,2,0,0,1,1,0,0,0,3,1677,1676
18,2,0,0,1,1,12,0,0,4,1676,1675
18,2,0,0,1,1,13,0,12,5,1675,1674
18,2,0,0,1,1,12,0,12,6,1674,1773
18,3,0,0,1,1,12,0,0,6,1773,1772
18,3,0,0,1,1,13,0,0,7,1772,1771
18,3,0,0,1,1,14,0,0,6,1771,1770
18,3,0,0,1,1,14,0,0,5,1770,1869
18,4,0,0,1,1,14,0,0,3,1869,1868
18,5,1,0,0,1,14,8,0,2,1868,1867
18,5,1,0,0,1,13,7,0,3,1867,1866
18,4,0,0,1,1,14,5,0,3,1866,1865
18,4,0,0,1,1,14,6,0,4,1865,1864
18,4,0,0,1,1,13,6,0,3,1864,1863
18,3,0,0,1,1,13,6,0,4,1863,1862
18,3,0,0,1,1,14,5,0,4,1862,1861
18,4,0,0,1,1,12,4,0,3,1861,1860
18,4,0,0,1,1,13,3,0,2,1860,1859
18,3,0,0,1,1,11,5,0,2,1859,1858
18,3,0,0,1,1,11,6,0,1,1858,1857
18,2,0,0,1,1,13,6,0,2,1857,1856
18,2,0,0,1,1,12,5,0,2,1856,1855
18,2,0,0,1,1,12,6,0,3,1855,1854
18,2,0,0,1,1,12,5,0,4,1854,1853
18,2,0,0,1,1,13,6,0,5,1853,1852
18,3,0,0,1,1,13,6,0,4,1852,1851
18,3,0,0,1,1,14,7,0,3,1851,1850
18,4,0,0,1,1,14,5,0,3,1850,1849
18,3,0,0,1,1,14,7,0,3,1849,1848
18,3,0,0,1,1,13,7,0,4,1848,1847
18,3,0,0,1,1,14,6,6,5,1847,1846
18,3,0,0,1,1,14,6,5,4,1846,1845
18,2,0,0,1,1,16,7,7,5,1845,1844
18,3,0,0,1,1,14,6,6,3,1844,1843
18,2,0,0,1,1,14,6,8,4,1843,1842
18,2,0,0,1,1,14,7,8,3,1842,1841
18,2,0,0,1,1,0,6,8,3,1841,1840
18,2,0,0,1,1,0,6,9,4,1840,1839
18,1,1,0,1,0,0,7,11,5,1839,1838
18,1,1,0,1,0,0,6,12,5,1838,1837
18,1,1,0,1,0,0,6,13,4,1837,1836
18,1,1,0,1,0,13,7,12,5,1836,1835
18,2,0,0,1,1,0,5,10,3,1835,1834
18,1,1,0,1,0,0,7,12,4,1834,1833
18,2,0,0,1,1,0,7,10,0,1833,1832
18,3,0,0,1,1,0,5,10,4,1832,1831
18,3,0,0,1,1,0,6,11,4,1831,1830
18,3,0,0,1,1,0,5,10,4,1830,1829
18,2,0,0,1,1,0,7,10,0,1829,1828
18,2,0,0,1,1,0,6,9,0,1828,1827
18,1,1,0,1,0,0,7,11,0,1827,1826
18,1,1,0,1,0,0,8,11,0,1826,1825
18,1,1,0,1,0,0,7,12,4,1825,1824
18,1,1,0,1,0,0,6,13,0,1824,1823
18,1,1,0,1,0,0,6,14,0,1823,1822
18,1,1,0,1,0,13,0,14,0,1822,1821
17,1,1,1,0,0,12,5,12,0,1821,1820
17,1,1,1,0,0,13,6,12,0,1820,1819
17,1,1,1,0,0,14,6,11,0,1819,1818
16,1,1,1,0,0,12,5,9,0,1818,1817
16,1,1,1,0,0,11,6,8,0,1817,1816
16,1,1,1,0,0,12,5,7,0,1816,1815
16,1,1,1,0,0,11,6,8,2,1815,1814
17,1,1,1,0,0,13,6,10,4,1814,1813
18,1,1,0,1,0,13,6,12,6,1813,1812
18,2,0,0,1,1,12,4,12,5,1812,1811
18,2,0,0,1,1,13,5,11,6,1811,1810
18,3,0,0,1,1,13,5,9,5,1810,1809
18,4,0,0,1,1,13,3,9,4,1809,1808
18,4,0,0,1,1,14,2,10,3,1808,1807
18,4,0,0,1,1,14,2,9,4,1807,1806
18,5,1,0,0,1,16,2,9,4,1806,1805
18,5,1,0,0,1,17,1,8,4,1805,1804
18,5,1,0,0,1,0,1,8,4,1804,1803
18,5,1,0,0,1,17,2,9,3,1803,1802
18,5,1,0,0,1,16,1,10,2,1802,1801
18,5,1,0,0,1,16,1,9,1,1801,1800
18,5,1,0,0,1,17,2,8,2,1800,1799
18,4,0,0,1,1,0,4,10,4,1799,1798
18,3,0,0,1,1,0,4,12,4,1798,1797
18,2,0,0,1,1,0,5,12,4,1797,1796
18,3,0,0,1,1,0,5,11,3,1796,1795
18,3,0,0,1,1,0,6,10,3,1795,1794
18,3,0,0,1,1,0,5,10,3,1794,1793
18,2,0,0,1,1,0,5,10,5,1793,1792
18,2,0,0,1,1,0,4,11,5,1792,1791
