@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R11-18,20'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute score numeric
@attribute scoreNext numeric

@data
1,11,0,1,0,1,11,7,7,18,0,-1
1,11,0,1,0,1,12,8,6,17,-1,-2
1,11,0,1,0,1,11,7,7,17,-2,-3
2,11,1,1,0,0,11,7,6,15,-3,-4
3,11,1,1,0,0,9,7,6,14,-4,-5
4,11,1,1,0,0,9,5,4,14,-5,-6
5,11,1,1,0,1,9,4,3,14,-6,-7
6,11,1,1,0,1,7,2,3,12,-7,-8
7,11,1,1,0,0,7,4,2,10,-8,-9
8,11,1,1,0,0,9,5,1,8,-9,190
9,11,1,1,0,0,11,7,0,7,190,189
10,11,1,1,0,1,12,9,0,7,189,188
10,10,0,1,1,1,12,9,0,5,188,187
10,9,1,1,1,1,10,7,0,4,187,186
9,9,1,1,0,1,9,6,0,6,186,185
8,9,1,1,0,1,7,4,0,8,185,184
7,9,1,1,0,1,7,2,0,10,184,183
6,9,1,1,1,1,6,1,0,10,183,382
6,8,1,1,1,1,4,0,0,8,382,381
5,8,1,1,1,1,4,0,0,8,381,380
4,8,1,1,1,1,6,0,0,10,380,379
3,8,1,1,1,1,8,0,0,12,379,378
2,8,1,1,1,1,8,0,0,14,378,377
1,8,0,1,1,1,8,0,0,14,377,376
1,7,0,1,1,1,7,0,0,14,376,375
1,6,0,0,1,1,7,0,0,14,375,374
1,5,0,1,1,1,5,0,0,16,374,373
1,4,0,1,1,1,3,0,0,18,373,372
2,4,1,1,1,1,1,0,0,16,372,571
3,4,1,1,1,1,0,0,0,14,571,570
4,4,1,1,1,1,0,0,0,14,570,569
5,4,1,1,1,1,0,0,0,14,569,568
6,4,1,1,1,1,0,0,0,14,568,567
7,4,1,1,1,1,0,0,0,12,567,566
8,4,1,1,1,1,0,0,0,11,566,565
9,4,1,1,1,1,0,0,0,9,565,564
10,4,1,1,1,1,0,0,0,9,564,563
10,5,1,1,1,1,0,0,0,8,563,662
10,6,1,0,1,1,0,0,0,8,662,661
10,7,1,0,1,1,0,0,0,8,661,660
10,8,1,0,1,1,0,0,0,9,660,659
10,9,1,1,1,1,0,0,0,10,659,658
11,9,1,1,1,0,0,0,0,9,658,657
12,9,1,1,0,1,0,0,0,8,657,656
13,9,1,1,0,1,0,0,0,6,656,655
14,9,1,1,1,1,0,0,0,5,655,654
15,9,1,1,0,1,0,0,0,3,654,653
1,11,0,1,0,1,11,7,7,18,0,-1
1,11,0,1,0,1,11,7,7,18,-1,-2
1,11,0,1,0,1,11,7,7,18,-2,-3
2,11,1,1,0,0,10,6,6,17,-3,-4
3,11,1,1,0,0,9,5,5,16,-4,-5
4,11,1,1,0,0,8,4,4,15,-5,-6
5,11,1,1,0,1,7,3,3,14,-6,-7
6,11,1,1,0,1,6,2,2,13,-7,-8
7,11,1,1,0,0,7,3,1,12,-8,191
8,11,1,1,0,0,8,4,0,11,191,190
9,11,1,1,0,0,9,5,0,10,190,189
10,11,1,1,0,1,10,6,0,9,189,188
10,10,0,1,1,1,9,5,0,8,188,187
10,9,1,1,1,1,8,4,0,7,187,186
9,9,1,1,0,1,7,3,0,8,186,185
