@relation 'pacman-data-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,28-weka.filters.unsupervised.attribute.Remove-R1-2,11-18-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C14-L2'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute score numeric
@attribute class {West,East,South,North,Stop}
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute scoreNext numeric

@data
0,0,1,1,True,True,True,True,11,8,8,16,0,0,13,-7,Stop,5,-6,6,-2,7,1,12,-3,-8
1,1,0,1,True,True,True,True,6,2,9,12,0,0,10,-15,Stop,0,-6,2,0,7,2,10,-2,-16
0,1,1,1,True,True,True,True,4,7,13,13,0,0,10,-23,North,1,-3,3,4,10,3,11,1,-24
0,0,1,1,True,True,True,True,6,11,13,14,0,0,9,-31,North,4,-2,6,5,11,2,12,3,-32
0,1,1,0,True,True,True,True,5,12,18,14,0,0,12,-39,East,4,1,5,7,13,5,9,6,-40
1,1,1,0,True,True,True,True,4,11,17,15,0,0,11,-47,Stop,2,2,6,5,12,5,8,6,-48
0,1,1,1,False,True,True,True,0,8,14,16,0,0,11,145,East,0,-3,7,1,11,3,10,7,144
1,1,1,1,False,True,True,True,0,6,14,16,0,0,10,144,East,-1,-3,5,1,11,3,9,6,143
1,1,1,1,False,True,True,True,0,4,14,14,0,0,9,143,East,-2,-3,3,1,10,4,8,7,142
1,1,1,1,False,True,True,True,0,2,12,12,0,0,8,142,East,-3,-3,2,0,9,3,6,7,141
1,1,1,1,False,True,True,True,0,2,12,12,0,0,7,141,East,-4,-3,1,-1,9,3,4,7,140
1,1,1,1,False,True,True,True,0,2,10,12,0,0,6,140,West,-5,-3,-1,-1,8,2,4,7,139
1,1,1,1,False,True,True,True,0,2,10,12,0,0,7,139,West,-4,-3,-1,-1,9,1,6,7,138
1,1,1,1,False,True,True,True,0,1,10,12,0,0,8,138,South,-3,-3,0,-1,10,0,7,6,337
1,1,1,0,False,False,True,True,0,0,8,12,0,0,7,330,Stop,-5,-2,-3,-2,8,0,4,7,329
