@relation 'pacman-data-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,28-weka.filters.unsupervised.attribute.Remove-R1-2,11-18-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R26-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute distGUno {'\'(-inf-1.8]\'','\'(1.8-3.6]\'','\'(3.6-5.4]\'','\'(5.4-7.2]\'','\'(7.2-9]\'','\'(9-10.8]\'','\'(10.8-12.6]\'','\'(12.6-14.4]\'','\'(14.4-16.2]\'','\'(16.2-inf)\''}
@attribute distGDos {'\'(-inf-1.8]\'','\'(1.8-3.6]\'','\'(3.6-5.4]\'','\'(5.4-7.2]\'','\'(7.2-9]\'','\'(9-10.8]\'','\'(10.8-12.6]\'','\'(12.6-14.4]\'','\'(14.4-16.2]\'','\'(16.2-inf)\''}
@attribute distGTres {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute distGCuatro {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute fantasmaCercano {'\'All\''}
@attribute movaleatorio {0,1}
@attribute distComida {'\'(-inf-1.1]\'','\'(1.1-3.2]\'','\'(3.2-5.3]\'','\'(5.3-7.4]\'','\'(7.4-9.5]\'','\'(9.5-11.6]\'','\'(11.6-13.7]\'','\'(13.7-15.8]\'','\'(15.8-17.9]\'','\'(17.9-inf)\''}
@attribute score {'\'(-inf--183.6]\'','\'(-183.6--67.2]\'','\'(-67.2-49.2]\'','\'(49.2-165.6]\'','\'(165.6-282]\'','\'(282-398.4]\'','\'(398.4-514.8]\'','\'(514.8-631.2]\'','\'(631.2-747.6]\'','\'(747.6-inf)\''}
@attribute class {West,East,South,North,Stop}
@attribute posxrelGUno {'\'(-inf--12.9]\'','\'(-12.9--10.8]\'','\'(-10.8--8.7]\'','\'(-8.7--6.6]\'','\'(-6.6--4.5]\'','\'(-4.5--2.4]\'','\'(-2.4--0.3]\'','\'(-0.3-1.8]\'','\'(1.8-3.9]\'','\'(3.9-inf)\''}
@attribute posyrelGUno {'\'(-inf--8.3]\'','\'(-8.3--6.6]\'','\'(-6.6--4.9]\'','\'(-4.9--3.2]\'','\'(-3.2--1.5]\'','\'(-1.5-0.2]\'','\'(0.2-1.9]\'','\'(1.9-3.6]\'','\'(3.6-5.3]\'','\'(5.3-inf)\''}
@attribute posxrelGDos {'\'(-inf--10.1]\'','\'(-10.1--7.2]\'','\'(-7.2--4.3]\'','\'(-4.3--1.4]\'','\'(-1.4-1.5]\'','\'(1.5-4.4]\'','\'(4.4-7.3]\'','\'(7.3-10.2]\'','\'(10.2-13.1]\'','\'(13.1-inf)\''}
@attribute posyrelGDos {'\'(-inf--8]\'','\'(-8--6]\'','\'(-6--4]\'','\'(-4--2]\'','\'(-2-0]\'','\'(0-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-inf)\''}
@attribute posxrelGTres {'\'(-inf--8.2]\'','\'(-8.2--5.4]\'','\'(-5.4--2.6]\'','\'(-2.6-0.2]\'','\'(0.2-3]\'','\'(3-5.8]\'','\'(5.8-8.6]\'','\'(8.6-11.4]\'','\'(11.4-14.2]\'','\'(14.2-inf)\''}
@attribute posyrelGTres {'\'(-inf--8.4]\'','\'(-8.4--6.8]\'','\'(-6.8--5.2]\'','\'(-5.2--3.6]\'','\'(-3.6--2]\'','\'(-2--0.4]\'','\'(-0.4-1.2]\'','\'(1.2-2.8]\'','\'(2.8-4.4]\'','\'(4.4-inf)\''}
@attribute posxrelGCuatro {'\'(-inf--6.4]\'','\'(-6.4--3.8]\'','\'(-3.8--1.2]\'','\'(-1.2-1.4]\'','\'(1.4-4]\'','\'(4-6.6]\'','\'(6.6-9.2]\'','\'(9.2-11.8]\'','\'(11.8-14.4]\'','\'(14.4-inf)\''}
@attribute posyrelGCuatro {'\'(-inf--9.1]\'','\'(-9.1--7.2]\'','\'(-7.2--5.3]\'','\'(-5.3--3.4]\'','\'(-3.4--1.5]\'','\'(-1.5-0.4]\'','\'(0.4-2.3]\'','\'(2.3-4.2]\'','\'(4.2-6.1]\'','\'(6.1-inf)\''}
@attribute scoreNext {'\'(-inf--184.5]\'','\'(-184.5--68]\'','\'(-68-48.5]\'','\'(48.5-165]\'','\'(165-281.5]\'','\'(281.5-398]\'','\'(398-514.5]\'','\'(514.5-631]\'','\'(631-747.5]\'','\'(747.5-inf)\''}

@data
0,1,0,1,True,True,True,True,'\'(10.8-12.6]\'','\'(5.4-7.2]\'','\'(6-8]\'','\'(16-18]\'','\'All\'',1,'\'(13.7-15.8]\'','\'(-67.2-49.2]\'',East,'\'(3.9-inf)\'','\'(-6.6--4.9]\'','\'(4.4-7.3]\'','\'(-4--2]\'','\'(5.8-8.6]\'','\'(-0.4-1.2]\'','\'(11.8-14.4]\'','\'(-5.3--3.4]\'','\'(-68-48.5]\''
1,1,0,0,True,True,True,True,'\'(7.2-9]\'','\'(3.6-5.4]\'','\'(6-8]\'','\'(14-16]\'','\'All\'',1,'\'(11.6-13.7]\'','\'(-67.2-49.2]\'',Stop,'\'(1.8-3.9]\'','\'(-6.6--4.9]\'','\'(1.5-4.4]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(-0.4-1.2]\'','\'(11.8-14.4]\'','\'(-5.3--3.4]\'','\'(-68-48.5]\''
1,1,0,0,True,True,True,True,'\'(7.2-9]\'','\'(3.6-5.4]\'','\'(6-8]\'','\'(14-16]\'','\'All\'',1,'\'(11.6-13.7]\'','\'(-67.2-49.2]\'',West,'\'(1.8-3.9]\'','\'(-6.6--4.9]\'','\'(1.5-4.4]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(-0.4-1.2]\'','\'(11.8-14.4]\'','\'(-5.3--3.4]\'','\'(-68-48.5]\''
0,1,0,1,True,True,True,True,'\'(9-10.8]\'','\'(5.4-7.2]\'','\'(8-10]\'','\'(14-16]\'','\'All\'',1,'\'(13.7-15.8]\'','\'(-67.2-49.2]\'',South,'\'(3.9-inf)\'','\'(-6.6--4.9]\'','\'(4.4-7.3]\'','\'(-2-0]\'','\'(8.6-11.4]\'','\'(-0.4-1.2]\'','\'(11.8-14.4]\'','\'(-5.3--3.4]\'','\'(-68-48.5]\''
0,0,1,1,True,True,True,True,'\'(7.2-9]\'','\'(3.6-5.4]\'','\'(8-10]\'','\'(14-16]\'','\'All\'',1,'\'(11.6-13.7]\'','\'(-67.2-49.2]\'',Stop,'\'(3.9-inf)\'','\'(-6.6--4.9]\'','\'(4.4-7.3]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(-0.4-1.2]\'','\'(11.8-14.4]\'','\'(-3.4--1.5]\'','\'(-68-48.5]\''
0,0,1,1,True,True,True,True,'\'(7.2-9]\'','\'(5.4-7.2]\'','\'(6-8]\'','\'(14-16]\'','\'All\'',1,'\'(11.6-13.7]\'','\'(-67.2-49.2]\'',South,'\'(3.9-inf)\'','\'(-6.6--4.9]\'','\'(4.4-7.3]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(-0.4-1.2]\'','\'(11.8-14.4]\'','\'(-3.4--1.5]\'','\'(-68-48.5]\''
0,1,1,1,True,True,True,True,'\'(7.2-9]\'','\'(5.4-7.2]\'','\'(6-8]\'','\'(12-14]\'','\'All\'',1,'\'(11.6-13.7]\'','\'(-67.2-49.2]\'',North,'\'(3.9-inf)\'','\'(-6.6--4.9]\'','\'(4.4-7.3]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(1.2-2.8]\'','\'(11.8-14.4]\'','\'(-3.4--1.5]\'','\'(-68-48.5]\''
0,0,1,1,True,True,True,True,'\'(10.8-12.6]\'','\'(7.2-9]\'','\'(6-8]\'','\'(14-16]\'','\'All\'',0,'\'(11.6-13.7]\'','\'(-67.2-49.2]\'',Stop,'\'(3.9-inf)\'','\'(-6.6--4.9]\'','\'(4.4-7.3]\'','\'(-4--2]\'','\'(5.8-8.6]\'','\'(-0.4-1.2]\'','\'(11.8-14.4]\'','\'(-3.4--1.5]\'','\'(-68-48.5]\''
0,0,1,1,True,True,True,True,'\'(10.8-12.6]\'','\'(7.2-9]\'','\'(6-8]\'','\'(14-16]\'','\'All\'',1,'\'(11.6-13.7]\'','\'(-67.2-49.2]\'',South,'\'(3.9-inf)\'','\'(-8.3--6.6]\'','\'(4.4-7.3]\'','\'(-4--2]\'','\'(5.8-8.6]\'','\'(-0.4-1.2]\'','\'(11.8-14.4]\'','\'(-3.4--1.5]\'','\'(-68-48.5]\''
0,1,1,1,True,True,True,True,'\'(9-10.8]\'','\'(7.2-9]\'','\'(8-10]\'','\'(12-14]\'','\'All\'',1,'\'(11.6-13.7]\'','\'(-67.2-49.2]\'',South,'\'(3.9-inf)\'','\'(-6.6--4.9]\'','\'(4.4-7.3]\'','\'(-4--2]\'','\'(5.8-8.6]\'','\'(1.2-2.8]\'','\'(11.8-14.4]\'','\'(-1.5-0.4]\'','\'(-68-48.5]\''
0,1,1,1,True,True,True,True,'\'(7.2-9]\'','\'(5.4-7.2]\'','\'(8-10]\'','\'(12-14]\'','\'All\'',1,'\'(9.5-11.6]\'','\'(-67.2-49.2]\'',Stop,'\'(3.9-inf)\'','\'(-6.6--4.9]\'','\'(4.4-7.3]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(2.8-4.4]\'','\'(11.8-14.4]\'','\'(-1.5-0.4]\'','\'(-68-48.5]\''
0,1,1,1,True,True,True,True,'\'(7.2-9]\'','\'(5.4-7.2]\'','\'(8-10]\'','\'(10-12]\'','\'All\'',1,'\'(9.5-11.6]\'','\'(-67.2-49.2]\'',Stop,'\'(1.8-3.9]\'','\'(-6.6--4.9]\'','\'(4.4-7.3]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(2.8-4.4]\'','\'(11.8-14.4]\'','\'(-1.5-0.4]\'','\'(-68-48.5]\''
0,1,1,1,True,True,True,True,'\'(5.4-7.2]\'','\'(5.4-7.2]\'','\'(8-10]\'','\'(10-12]\'','\'All\'',1,'\'(9.5-11.6]\'','\'(-67.2-49.2]\'',North,'\'(1.8-3.9]\'','\'(-4.9--3.2]\'','\'(4.4-7.3]\'','\'(0-2]\'','\'(5.8-8.6]\'','\'(2.8-4.4]\'','\'(9.2-11.8]\'','\'(-1.5-0.4]\'','\'(-68-48.5]\''
0,1,1,1,True,True,True,True,'\'(5.4-7.2]\'','\'(5.4-7.2]\'','\'(8-10]\'','\'(12-14]\'','\'All\'',1,'\'(11.6-13.7]\'','\'(-67.2-49.2]\'',East,'\'(1.8-3.9]\'','\'(-6.6--4.9]\'','\'(4.4-7.3]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(1.2-2.8]\'','\'(9.2-11.8]\'','\'(-1.5-0.4]\'','\'(-68-48.5]\''
1,1,0,1,True,True,True,True,'\'(5.4-7.2]\'','\'(3.6-5.4]\'','\'(8-10]\'','\'(12-14]\'','\'All\'',1,'\'(9.5-11.6]\'','\'(-67.2-49.2]\'',East,'\'(-0.3-1.8]\'','\'(-6.6--4.9]\'','\'(1.5-4.4]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(1.2-2.8]\'','\'(9.2-11.8]\'','\'(-3.4--1.5]\'','\'(-68-48.5]\''
1,1,0,1,True,True,True,True,'\'(5.4-7.2]\'','\'(1.8-3.6]\'','\'(8-10]\'','\'(10-12]\'','\'All\'',0,'\'(9.5-11.6]\'','\'(-67.2-49.2]\'',Stop,'\'(-0.3-1.8]\'','\'(-6.6--4.9]\'','\'(1.5-4.4]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(1.2-2.8]\'','\'(9.2-11.8]\'','\'(-3.4--1.5]\'','\'(-68-48.5]\''
1,1,0,1,True,True,True,True,'\'(5.4-7.2]\'','\'(1.8-3.6]\'','\'(8-10]\'','\'(10-12]\'','\'All\'',1,'\'(9.5-11.6]\'','\'(-67.2-49.2]\'',West,'\'(-0.3-1.8]\'','\'(-6.6--4.9]\'','\'(1.5-4.4]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(1.2-2.8]\'','\'(9.2-11.8]\'','\'(-3.4--1.5]\'','\'(-68-48.5]\''
1,1,0,1,True,True,True,True,'\'(5.4-7.2]\'','\'(1.8-3.6]\'','\'(8-10]\'','\'(12-14]\'','\'All\'',1,'\'(9.5-11.6]\'','\'(-67.2-49.2]\'',West,'\'(-0.3-1.8]\'','\'(-6.6--4.9]\'','\'(1.5-4.4]\'','\'(-2-0]\'','\'(5.8-8.6]\'','\'(1.2-2.8]\'','\'(9.2-11.8]\'','\'(-1.5-0.4]\'','\'(-68-48.5]\''
