@relation pacman-data
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @attribute LegalWest {0,1}
    @attribute LegalEast {0,1}
    @attribute LegalNorth {0,1}
    @attribute LegalSouth {0,1}
    @attribute distGUno numeric
    @attribute distGDos numeric
    @attribute distGTres numeric
    @attribute distGCuatro numeric
    @attribute posxrelGUno numeric
    @attribute posyrelGUno numeric
    @attribute posxrelGDos numeric
    @attribute posyrelGDos numeric
    @attribute posxrelGTres numeric
    @attribute posyrelGTres numeric
    @attribute posxrelGCuatro numeric
    @attribute posyrelGCuatro numeric
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}
    @ATTRIBUTE scoreNext NUMERIC
@data
1,11,0,1,0,1,11,7,7,18,5,-6,5,-2,7,0,13,-5,0,Stop,-1
1,11,0,1,0,1,12,8,6,17,5,-7,6,-2,6,0,13,-5,-1,Stop,-2
1,11,0,1,0,1,11,7,7,17,4,-7,5,-2,7,0,13,-4,-2,East,-3
2,11,1,1,0,0,11,7,6,15,4,-7,5,-2,6,0,12,-4,-3,East,-4
3,11,1,1,0,0,9,7,6,14,2,-7,5,-2,6,0,10,-4,-4,East,-5
4,11,1,1,0,0,9,5,4,14,1,-8,3,-2,4,0,9,-4,-5,East,-6
5,11,1,1,0,1,9,4,3,14,1,-8,2,-2,3,0,9,-4,-6,East,-7
6,11,1,1,0,1,7,2,3,12,0,-7,0,-2,3,0,9,-4,-7,East,-8
7,11,1,1,0,0,7,4,2,10,0,-7,-2,-2,2,0,7,-4,-8,East,-9
8,11,1,1,0,0,9,5,1,8,-1,-8,-3,-2,1,0,5,-4,-9,East,190
9,11,1,1,0,0,11,7,0,7,-3,-8,-4,-3,-4,-10,3,-4,190,East,189
10,11,1,1,0,1,12,9,0,7,-4,-8,-6,-3,-5,-10,2,-4,189,South,188
10,10,0,1,1,1,12,9,0,5,-5,-7,-6,-3,-5,-9,3,-3,188,South,187
10,9,1,1,1,1,10,7,0,4,-4,-6,-5,-2,-5,-8,2,-2,187,West,186
9,9,1,1,0,1,9,6,0,6,-3,-6,-4,-2,-4,-8,3,-2,186,West,185
8,9,1,1,0,1,7,4,0,8,-1,-6,-2,-2,-3,-8,5,-2,185,West,184
7,9,1,1,0,1,7,2,0,10,-1,-6,-1,-1,-2,-8,7,-2,184,West,183
6,9,1,1,1,1,6,1,0,10,0,-6,0,-1,-1,-8,9,-2,183,South,382
6,8,1,1,1,1,4,0,0,8,0,-4,-3,-7,-1,-7,8,-1,382,West,381
5,8,1,1,1,1,4,0,0,8,0,-4,-2,-7,0,-7,8,-1,381,West,380
4,8,1,1,1,1,6,0,0,10,1,-5,-1,-7,1,-7,9,0,380,West,379
3,8,1,1,1,1,8,0,0,12,3,-5,0,-7,2,-7,11,0,379,West,378
2,8,1,1,1,1,8,0,0,14,4,-4,1,-7,3,-7,13,0,378,West,377
