@relation pacman-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C27-L5

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute score numeric
@attribute class {West,East,South,North,Stop}
@attribute scoreNext numeric

@data
1,7,0,1,1,1,True,True,True,True,2,4,4,11,11,10,12,8,4,7,13,13,0,0,10,-23,North,-24
1,6,0,0,1,1,True,True,True,True,5,4,7,11,12,8,13,9,6,11,13,14,0,0,9,-31,North,-32
1,3,0,1,1,0,True,True,True,True,5,4,6,10,14,8,10,9,5,12,18,14,0,0,12,-39,East,-40
1,4,0,1,1,1,False,True,True,True,1,1,8,5,12,7,11,11,0,8,14,16,0,0,11,145,East,144
2,4,1,1,1,1,False,True,True,True,1,1,7,5,13,7,11,10,0,6,14,16,0,0,10,144,East,143
3,4,1,1,1,1,False,True,True,True,1,1,6,5,13,8,11,11,0,4,14,14,0,0,9,143,East,142
4,4,1,1,1,1,False,True,True,True,1,1,6,4,13,7,10,11,0,2,12,12,0,0,8,142,East,141
5,4,1,1,1,1,False,True,True,True,1,1,6,3,14,7,9,11,0,2,12,12,0,0,7,141,East,140
6,4,1,1,1,1,False,True,True,True,1,1,5,3,14,6,10,11,0,2,10,12,0,0,6,140,West,139
5,4,1,1,1,1,False,True,True,True,1,1,4,3,14,5,11,11,0,2,10,12,0,0,7,139,West,138
4,4,1,1,1,1,False,True,True,True,1,1,4,3,14,4,11,10,0,1,10,12,0,0,8,138,South,337
1,5,0,1,1,1,False,False,True,True,1,1,3,1,16,4,13,8,0,0,16,14,0,0,10,314,East,313
1,4,0,1,1,1,False,False,True,True,1,1,3,1,17,3,12,9,0,0,17,15,0,0,11,306,East,305
2,4,1,1,1,1,False,False,True,True,1,1,3,1,18,3,11,9,0,0,17,15,0,0,10,305,East,304
3,4,1,1,1,1,False,False,True,True,1,1,3,1,17,3,12,9,0,0,15,14,0,0,9,304,East,303
4,4,1,1,1,1,False,False,True,True,1,1,3,1,17,4,12,9,0,0,13,12,0,0,8,303,East,302
5,4,1,1,1,1,False,False,True,True,1,1,3,1,17,4,12,8,0,0,12,11,0,0,7,302,East,301
6,4,1,1,1,1,False,False,True,True,1,1,3,1,17,4,12,8,0,0,11,10,0,0,6,301,East,300
7,4,1,1,1,1,False,False,True,True,1,1,3,1,16,4,12,8,0,0,9,10,0,0,5,300,East,299
8,4,1,1,1,1,False,False,True,True,1,1,3,1,16,5,13,8,0,0,9,10,0,0,4,299,East,298
9,4,1,1,1,1,False,False,True,True,1,1,3,1,15,5,14,8,0,0,7,10,0,0,3,298,East,297
10,4,1,1,1,1,False,False,True,True,1,1,3,1,15,5,15,8,0,0,6,9,0,0,2,297,East,296
