@relation InstanceResultListener

@attribute Key_Dataset {pacman-data,pacmanfilterDist,pacmanfilterFantasmasVivos}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 11 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-M 2 -C 0.25 -Q 1',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,8121455039782598361,48055541465867954,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 102\nSize of the tree: 203\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 86\nSize of the tree: 171\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 82\nSize of the tree: 163\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 80\nSize of the tree: 159\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 78\nSize of the tree: 155\n','Number of leaves: 76\nSize of the tree: 151\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 74\nSize of the tree: 147\n','Number of rules: 96\n','Number of rules: 92\n','Number of rules: 86\n','Number of rules: 81\n','Number of rules: 85\n','Number of rules: 87\n','Number of rules: 83\n','Number of rules: 82\n','Number of rules: 101\n','Number of rules: 78\n','Number of rules: 95\n','Number of rules: 79\n','Number of rules: 84\n','Number of rules: 88\n','Number of rules: 80\n','Number of rules: 76\n','Number of rules: 90\n','Number of rules: 74\n','Number of rules: 89\n','Number of rules: 77\n','Number of rules: 73\n','Number of rules: 91\n','Number of rules: 69\n','Number of rules: 97\n','Number of rules: 93\n','Number of rules: 94\n','Number of rules: 75\n','Number of rules: 72\n','Number of rules: 68\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pacman-data,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,658,74,50,24,0,67.567568,32.432432,0,0.572666,0.155276,0.334731,51.132581,85.8386,162.160561,14002.074572,-13839.914011,2.191359,189.217224,-187.025865,88.990583,1.202575,54.878068,0.6875,11,0.034483,2,0.965517,56,0.3125,5,0.846154,0.6875,0.758621,0.706418,0.875539,0.790647,0.675676,0.092601,0.907399,0.324324,0.68804,0.675676,0.662482,0.583275,0.831401,0.618451,0.594899,0.675676,0.107,0.02,0.09375,0,93.75,0,51625,143093,18701,81.081081,37.567568,'Number of leaves: 98\nSize of the tree: 195\n',195,98,98
pacman-data,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,658,74,50,24,0,67.567568,32.432432,0,0.568198,0.162448,0.329924,53.551783,84.7082,161.393906,14006.504113,-13845.110206,2.180999,189.277083,-187.096084,86.774091,1.172623,53.765407,0.625,10,0.12069,7,0.87931,51,0.375,6,0.588235,0.625,0.606061,0.493526,0.813578,0.58138,0.675676,0.109528,0.890472,0.324324,0.67577,0.675676,0.667946,0.567896,0.823898,0.648808,0.628792,0.675676,0.05,0.002,0.046875,0,46.875,0,51141,143093,18701,82.432432,42.972973,'Number of leaves: 97\nSize of the tree: 193\n',193,97,97
pacman-data,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,47,26,0,64.383562,35.616438,0,0.522996,0.168827,0.357348,55.723822,91.877035,158.78985,17231.273362,-17072.483511,2.175203,236.044841,-233.869637,80.084754,1.097051,50.434429,0.6875,11,0.122807,7,0.877193,50,0.3125,5,0.611111,0.6875,0.647059,0.541991,0.792215,0.629145,0.643836,0.122872,0.877128,0.356164,0.665012,0.643836,0.646343,0.535355,0.778866,0.585074,0.617074,0.643836,0.036,0.002,0.03125,0,31.25,0,49205,143306,18488,76.712329,41.643836,'Number of leaves: 93\nSize of the tree: 185\n',185,93,93
pacman-data,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,49,24,0,67.123288,32.876712,0,0.560572,0.152354,0.332049,50.286722,85.37264,158.78985,15070.615897,-14911.826047,2.175203,206.446793,-204.27159,88.888169,1.217646,55.978495,0.75,12,0.087719,5,0.912281,52,0.25,4,0.705882,0.75,0.727273,0.648218,0.885417,0.648815,0.671233,0.110629,0.889371,0.328767,0.660422,0.671233,0.655228,0.556514,0.819307,0.613511,0.595554,0.671233,0.042,0.001,0.03125,0,31.25,0,55013,143306,18488,80.821918,36.712329,'Number of leaves: 105\nSize of the tree: 209\n',209,105,105
pacman-data,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,42,31,0,57.534247,42.465753,0,0.44357,0.185162,0.375597,61.115477,96.569247,158.78985,19375.280298,-19216.490448,2.175203,265.414799,-263.239595,73.346142,1.004742,46.190699,0.875,14,0.157895,9,0.842105,48,0.125,2,0.608696,0.875,0.717949,0.638604,0.870066,0.655806,0.575342,0.127242,0.872758,0.424658,0.580113,0.575342,0.568737,0.444998,0.768735,0.529974,0.540281,0.575342,0.033,0,0.03125,0,31.25,0,52593,143306,18488,75.342466,36.438356,'Number of leaves: 100\nSize of the tree: 199\n',199,100,100
pacman-data,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,45,28,0,61.643836,38.356164,0,0.484619,0.176388,0.369811,58.168854,94.988276,159.216532,19368.752266,-19209.535734,2.181048,265.325374,-263.144325,75.728602,1.037378,47.563278,0.733333,11,0.137931,8,0.862069,50,0.266667,4,0.578947,0.733333,0.647059,0.548272,0.832184,0.495586,0.616438,0.129108,0.870892,0.383562,0.569245,0.616438,0.585012,0.473108,0.76474,0.516162,0.50084,0.616438,0.045,0.001,0.03125,0,31.25,0,47753,143306,18488,73.972603,34.246575,'Number of leaves: 90\nSize of the tree: 179\n',179,90,90
pacman-data,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,49,24,0,67.123288,32.876712,0,0.567728,0.159841,0.335219,52.711999,86.103215,159.216532,12934.298334,-12775.081802,2.181048,177.182169,-175.001121,87.634073,1.200467,55.040812,0.666667,10,0.086207,5,0.913793,53,0.333333,5,0.666667,0.666667,0.666667,0.58046,0.83046,0.598728,0.671233,0.098505,0.901495,0.328767,0.670333,0.671233,0.665533,0.568302,0.824245,0.601479,0.624009,0.671233,0.027,0.001,0.03125,0,31.25,0,44849,143306,18488,82.191781,39.726027,'Number of leaves: 84\nSize of the tree: 167\n',167,84,84
pacman-data,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,45,28,0,61.643836,38.356164,0,0.487462,0.168186,0.361737,55.463897,92.914622,159.216532,15091.395095,-14932.178563,2.181048,206.73144,-204.550391,78.853884,1.08019,49.526191,0.733333,11,0.155172,9,0.844828,49,0.266667,4,0.55,0.733333,0.628571,0.523788,0.868966,0.529753,0.616438,0.12623,0.87377,0.383562,0.632932,0.616438,0.610066,0.500877,0.787428,0.555078,0.557888,0.616438,0.026,0.001,0.015625,0,15.625,0,49205,143306,18488,78.082192,36.986301,'Number of leaves: 93\nSize of the tree: 185\n',185,93,93
pacman-data,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,39,34,0,53.424658,46.575342,0,0.375283,0.198779,0.386106,65.5528,99.173884,159.216532,14035.376898,-13876.160366,2.181048,192.265437,-190.084389,64.295749,0.880764,40.382584,0.533333,8,0.12069,7,0.87931,51,0.466667,7,0.533333,0.533333,0.533333,0.412644,0.785057,0.467388,0.534247,0.14729,0.85271,0.465753,0.504537,0.534247,0.518132,0.381096,0.781043,0.536665,0.428288,0.534247,0.027,0.001,0.015625,0,15.625,0,40493,143306,18488,76.712329,41.643836,'Number of leaves: 75\nSize of the tree: 149\n',149,75,75
