  @relation pacmanfilterDist
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @ATTRIBUTE LegalWest {0, 1}
    @ATTRIBUTE LegalEast {0, 1}
    @ATTRIBUTE LegalNorth {0, 1}
    @ATTRIBUTE LegalSouth {0, 1}
    @ATTRIBUTE GUno {True, False}
    @ATTRIBUTE GDos {True, False}
    @ATTRIBUTE GTres {True, False}
    @ATTRIBUTE GCuatro {True, False}
    @ATTRIBUTE posxGUno NUMERIC 
    @ATTRIBUTE posyGUno NUMERIC
    @ATTRIBUTE posxGDos NUMERIC 
    @ATTRIBUTE posyGDos NUMERIC
    @ATTRIBUTE posxGTres NUMERIC 
    @ATTRIBUTE posyGTres NUMERIC
    @ATTRIBUTE posxGCuatro NUMERIC 
    @ATTRIBUTE posyGCuatro NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}

@data
1,11,0,1,0,1,True,True,True,True,6,5,6,9,8,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,6,4,6,10,8,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,6,5,6,10,8,11,14,5,Stop
1,11,0,1,0,1,True,True,True,True,6,5,5,10,8,11,14,4,Stop
1,11,0,1,0,1,True,True,True,True,6,5,6,10,7,11,14,3,Stop
1,11,0,1,0,1,True,True,True,True,5,5,5,10,6,11,15,3,Stop
1,11,0,1,0,1,True,True,True,True,6,5,5,11,6,10,15,4,Stop
1,11,0,1,0,1,True,True,True,True,7,5,6,11,6,9,15,4,Stop
1,11,0,1,0,1,True,True,True,True,6,5,5,11,5,9,16,4,Stop
1,11,0,1,0,1,True,True,True,True,5,5,5,11,5,9,16,5,Stop
1,11,0,1,0,1,True,True,True,True,5,4,4,11,6,9,16,4,Stop
1,11,0,1,0,1,True,True,True,True,5,4,4,11,6,9,16,4,Stop
1,11,0,1,0,1,True,True,True,True,4,4,3,11,6,9,16,5,Stop
1,11,0,1,0,1,True,True,True,True,4,5,3,11,6,10,17,5,Stop
1,11,0,1,0,1,True,True,True,True,4,5,4,11,5,10,16,5,Stop
1,11,0,1,0,1,True,True,True,True,3,5,5,11,6,10,15,5,East
2,11,1,1,0,0,True,True,True,True,2,5,5,11,6,11,16,5,East
3,11,1,1,0,0,True,True,True,True,2,4,4,11,6,10,17,5,East
4,11,1,1,0,0,True,False,True,True,1,4,3,1,6,11,17,5,East
5,11,1,1,0,1,True,False,True,True,2,4,3,1,6,11,17,5,East
6,11,1,1,0,1,True,False,False,True,2,5,3,1,5,1,17,4,East
7,11,1,1,0,0,True,False,False,True,3,5,3,1,5,1,17,3,East
8,11,1,1,0,0,True,False,False,True,3,4,3,1,5,1,18,3,East
9,11,1,1,0,0,True,False,False,True,4,4,3,1,5,1,17,3,East
