@relation pacmanfilterFantasmasVivos
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @ATTRIBUTE LegalWest {0, 1}
    @ATTRIBUTE LegalEast {0, 1}
    @ATTRIBUTE LegalNorth {0, 1}
    @ATTRIBUTE LegalSouth {0, 1}
    @ATTRIBUTE posxGUno NUMERIC 
    @ATTRIBUTE posyGUno NUMERIC
    @ATTRIBUTE posxGDos NUMERIC 
    @ATTRIBUTE posyGDos NUMERIC
    @ATTRIBUTE posxGTres NUMERIC 
    @ATTRIBUTE posyGTres NUMERIC
    @ATTRIBUTE posxGCuatro NUMERIC 
    @ATTRIBUTE posyGCuatro NUMERIC
    @ATTRIBUTE distGUno NUMERIC 
    @ATTRIBUTE distGDos NUMERIC
    @ATTRIBUTE distGTres NUMERIC 
    @ATTRIBUTE distGCuatro NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}

@data
1,11,0,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,Stop
1,11,0,1,0,1,6,4,6,10,8,11,14,6,12,6,7,19,Stop
1,11,0,1,0,1,6,5,6,10,8,11,14,5,11,6,7,20,Stop
1,11,0,1,0,1,6,5,5,10,8,11,14,4,11,5,7,21,Stop
1,11,0,1,0,1,6,5,6,10,7,11,14,3,11,6,6,22,Stop
1,11,0,1,0,1,5,5,5,10,6,11,15,3,10,5,5,21,Stop
1,11,0,1,0,1,6,5,5,11,6,10,15,4,11,4,6,21,Stop
1,11,0,1,0,1,7,5,6,11,6,9,15,4,12,5,7,22,Stop
1,11,0,1,0,1,6,5,5,11,5,9,16,4,11,4,6,21,Stop
1,11,0,1,0,1,5,5,5,11,5,9,16,5,10,4,6,22,Stop
1,11,0,1,0,1,5,4,4,11,6,9,16,4,11,3,7,22,Stop
1,11,0,1,0,1,5,4,4,11,6,9,16,4,11,3,7,21,Stop
1,11,0,1,0,1,4,4,3,11,6,9,16,5,10,2,7,22,Stop
1,11,0,1,0,1,4,5,3,11,6,10,17,5,9,2,6,21,Stop
1,11,0,1,0,1,4,5,4,11,5,10,16,5,9,3,5,20,Stop
1,11,0,1,0,1,3,5,5,11,6,10,15,5,8,4,6,21,East
2,11,1,1,0,0,2,5,5,11,6,11,16,5,6,3,4,21,East
3,11,1,1,0,0,2,4,4,11,6,10,17,5,8,1,4,20,East
4,11,1,1,0,0,1,4,3,1,6,11,17,5,10,0,2,19,East
5,11,1,1,0,1,2,4,3,1,6,11,17,5,10,0,1,19,East
6,11,1,1,0,1,2,5,3,1,5,1,17,4,10,0,0,19,East
7,11,1,1,0,0,3,5,3,1,5,1,17,3,10,0,0,19,East
8,11,1,1,0,0,3,4,3,1,5,1,18,3,12,0,0,17,East
9,11,1,1,0,0,4,4,3,1,5,1,17,3,12,0,0,16,East
10,11,1,1,0,1,4,5,3,1,5,1,17,3,12,0,0,14,South
10,10,0,1,1,1,4,5,3,1,5,1,16,3,11,0,0,13,South
10,9,1,1,1,1,4,5,3,1,5,1,16,3,10,0,0,13,South
10,8,1,0,1,1,4,5,3,1,5,1,17,3,9,0,0,12,South
10,7,1,0,1,1,4,4,3,1,5,1,17,3,9,0,0,11,South
10,6,1,0,1,1,4,3,3,1,5,1,17,3,9,0,0,9,South
10,5,1,1,1,1,3,3,3,1,5,1,16,3,9,0,0,8,South
10,4,1,1,1,1,3,4,3,1,5,1,16,3,7,0,0,7,West
9,4,1,1,1,1,2,4,3,1,5,1,16,3,7,0,0,7,West
8,4,1,1,1,1,2,3,3,1,5,1,15,3,7,0,0,9,West
7,4,1,1,1,1,3,3,3,1,5,1,16,3,5,0,0,11,West
6,4,1,1,1,1,4,3,3,1,5,1,17,3,3,0,0,13,West
5,4,1,1,1,1,4,3,3,1,5,1,18,3,2,0,0,14,West
4,4,1,1,1,1,4,3,3,1,5,1,18,3,1,0,0,14,West
3,4,1,1,1,1,4,3,3,1,5,1,17,3,2,0,0,15,West
2,4,1,1,1,1,4,4,3,1,5,1,17,3,2,0,0,17,South
2,3,1,1,1,0,3,4,3,1,5,1,18,3,2,0,0,17,Stop
2,3,1,1,1,0,3,3,3,1,5,1,18,4,1,0,0,18,East
3,3,1,1,1,0,1,1,3,1,5,1,18,5,0,0,0,16,East
4,3,1,1,1,0,1,1,3,1,5,1,18,4,0,0,0,15,East
5,3,1,1,1,0,1,1,3,1,5,1,18,4,0,0,0,14,East
6,3,1,1,1,0,1,1,3,1,5,1,18,4,0,0,0,14,North
6,4,1,1,1,1,1,1,3,1,5,1,18,5,0,0,0,12,North
6,5,1,1,0,1,1,1,3,1,5,1,17,5,0,0,0,12,East
7,5,1,1,0,1,1,1,3,1,5,1,18,5,0,0,0,12,East
8,5,1,1,1,1,1,1,3,1,5,1,18,4,0,0,0,10,East
9,5,1,1,1,1,1,1,3,1,5,1,18,5,0,0,0,8,East
10,5,1,1,1,1,1,1,3,1,5,1,17,5,0,0,0,8,East
11,5,1,1,0,1,1,1,3,1,5,1,18,5,0,0,0,6,East
12,5,1,1,0,0,1,1,3,1,5,1,17,5,0,0,0,5,East
13,5,1,1,0,1,1,1,3,1,5,1,17,5,0,0,0,5,East
14,5,1,1,1,1,1,1,3,1,5,1,17,4,0,0,0,5,East
15,5,1,1,0,1,1,1,3,1,5,1,18,4,0,0,0,4,East
16,5,1,1,0,1,1,1,3,1,5,1,18,4,0,0,0,3,East
17,5,1,1,0,1,1,1,3,1,5,1,18,4,0,0,0,1,East
1,11,0,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,Stop
1,11,0,1,0,1,7,5,6,8,9,11,14,6,12,8,8,18,Stop
1,11,0,1,0,1,7,5,6,7,10,11,14,6,12,9,9,18,Stop
1,11,0,1,0,1,7,5,7,7,9,11,14,6,12,10,8,19,Stop
1,11,0,1,0,1,7,4,7,8,9,11,14,5,13,9,8,20,East
2,11,1,1,0,0,6,4,7,8,9,11,14,4,11,8,7,18,East
3,11,1,1,0,0,6,3,7,9,10,11,13,4,11,6,7,17,East
4,11,1,1,0,0,6,4,8,9,9,11,13,4,9,6,5,17,East
5,11,1,1,0,1,7,4,8,8,8,11,14,4,9,6,3,17,East
6,11,1,1,0,1,6,4,7,8,8,11,14,3,7,4,2,16,East
7,11,1,1,0,0,5,4,7,8,9,11,14,3,9,3,2,14,East
8,11,1,1,0,0,4,4,7,8,9,11,14,4,11,4,1,13,East
9,11,1,1,0,0,3,4,7,7,5,1,14,4,13,6,0,11,East
10,11,1,1,0,1,3,4,7,8,5,1,14,5,14,6,0,11,South
10,10,0,1,1,1,3,3,7,9,5,1,14,4,14,4,0,9,East
11,10,1,0,1,1,2,3,7,9,5,1,14,5,16,5,0,7,South
11,9,1,1,1,0,1,3,7,8,5,1,14,6,16,5,0,5,Stop
11,9,1,1,1,0,1,4,7,7,5,1,14,7,15,6,0,6,West
10,9,1,1,1,1,1,3,6,7,5,1,14,6,15,6,0,8,West
9,9,1,1,0,1,2,3,6,7,5,1,14,5,13,5,0,10,West
8,9,1,1,0,1,1,3,6,8,5,1,15,5,13,3,0,11,West
7,9,1,1,0,1,2,3,6,9,5,1,15,5,11,1,0,13,South
7,8,1,1,1,1,3,3,6,10,5,1,16,5,9,3,0,11,South
7,7,1,1,1,0,2,3,6,9,5,1,15,5,9,3,0,9,West
6,7,1,1,1,0,2,3,6,9,5,1,14,5,8,2,0,9,West
5,7,1,1,1,0,1,3,6,9,5,1,14,6,8,3,0,10,West
4,7,1,1,1,0,1,4,7,9,5,1,14,6,6,5,0,11,West
3,7,1,1,1,0,1,5,7,9,5,1,14,6,4,6,0,11,North
3,8,1,1,1,1,1,6,7,8,5,1,14,7,4,4,0,12,East
4,8,1,1,1,1,1,5,7,8,5,1,14,7,6,3,0,11,East
5,8,1,1,1,1,1,5,6,8,5,1,14,7,7,1,0,11,East
6,8,1,1,1,1,2,5,3,1,5,1,15,7,7,0,0,11,East
7,8,1,1,1,1,1,5,3,1,5,1,16,7,9,0,0,11,East
8,8,1,1,1,1,1,6,3,1,5,1,17,7,9,0,0,9,East
9,8,1,1,1,1,1,6,3,1,5,1,17,8,10,0,0,9,South
9,7,1,1,1,1,1,7,3,1,5,1,17,7,8,0,0,9,South
9,6,1,1,1,1,2,7,3,1,5,1,18,7,8,0,0,11,West
8,6,0,1,1,1,1,7,3,1,5,1,18,8,8,0,0,12,Stop
8,6,0,1,1,1,1,8,3,1,5,1,18,8,9,0,0,11,Stop
8,6,0,1,1,1,1,8,3,1,5,1,17,8,9,0,0,12,Stop
8,6,0,1,1,1,1,8,3,1,5,1,17,9,9,0,0,11,Stop
8,6,0,1,1,1,1,8,3,1,5,1,17,8,9,0,0,11,North
8,7,1,1,1,1,1,7,3,1,5,1,17,8,7,0,0,10,North
8,8,1,1,1,1,1,7,3,1,5,1,17,8,8,0,0,10,West
7,8,1,1,1,1,2,7,3,1,5,1,17,9,6,0,0,10,West
6,8,1,1,1,1,2,8,3,1,5,1,17,8,4,0,0,12,West
5,8,1,1,1,1,2,7,3,1,5,1,18,8,4,0,0,12,West
4,8,1,1,1,1,2,7,3,1,5,1,17,8,3,0,0,14,West
3,8,1,1,1,1,1,7,3,1,5,1,17,9,3,0,0,15,West
2,8,1,1,1,1,1,6,3,1,5,1,17,9,3,0,0,16,West
1,8,0,1,1,1,1,5,3,1,5,1,17,9,3,0,0,18,South
1,7,0,1,1,1,1,6,3,1,5,1,18,9,1,0,0,18,South
1,6,0,0,1,1,1,1,3,1,5,1,18,8,0,0,0,18,South
